universityName,countryName,programName,studyLevel,campus,duration,openIntakes,intakeYear,entryRequirements,ieltsScore,ieltsNoBandLessThan,pteScore,pteNoBandLessThan,toeflScore,duolingo,gmatScore,greScore,yearlyTuitionFees,currency,applicationDeadline,workExperience,scholarships,careerProspects,accreditation,specializations
Harvard University,United States,Master of Business Administration,Postgraduate,Harvard Business School,2 years,"September, January",2024,"Bachelor's degree, GMAT/GRE, essays, recommendations, interview",7.0,6.5,65,58,100,120,650,320,$73440,USD,January 15 2024,2 years preferred,"Merit scholarships, Need-based aid, Military scholarships","CEO, Management Consultant, Investment Banker, Entrepreneur","AACSB, EQUIS","General Management, Finance, Marketing, Strategy, Entrepreneurship"
Stanford University,United States,Master of Science in Computer Science,Postgraduate,Gates Computer Science Building,2 years,"September, January",2024,"Bachelor's in CS or related field, GRE, transcripts, SOP, LORs",6.5,6.0,58,50,89,,320,,$55000,USD,December 15 2023,,"Research/Teaching assistantships, External fellowships","Software Engineer, Research Scientist, Tech Entrepreneur, Product Manager","ABET","AI/ML, Systems, Theory, Human-Computer Interaction, Graphics"
MIT,United States,Master of Engineering in Electrical Engineering,Postgraduate,Main Campus,1 year,September,2024,"Bachelor's in EE, strong math/physics background, GRE optional",7.0,6.5,65,58,100,,,,$53790,USD,January 15 2024,,"Merit fellowships, Research assistantships","Hardware Engineer, Systems Engineer, R&D Engineer, Technical Lead","ABET","Power Systems, Communications, Signal Processing, Microelectronics"
University of Oxford,United Kingdom,Master of Philosophy in Economics,Postgraduate,Department of Economics,2 years,October,2024,"First-class honours degree in Economics or related field",7.5,7.0,76,70,110,,650,,$45000,GBP,January 20 2024,,"Clarendon Scholarships, Rhodes Scholarships, College awards","Economist, Policy Analyst, Academic Researcher, Financial Analyst","QAA","Econometrics, Development Economics, Behavioral Economics, Public Economics"
University of Cambridge,United Kingdom,Master of Advanced Study in Mathematics,Postgraduate,Centre for Mathematical Sciences,1 year,October,2024,"First-class honours in Mathematics or equivalent",7.0,6.5,70,65,100,,,,$42000,GBP,December 31 2023,,"Cambridge Trust, Gates Cambridge, College scholarships","Research Mathematician, Data Scientist, Quantitative Analyst, Academic","QAA","Pure Mathematics, Applied Mathematics, Statistics, Mathematical Physics"
London School of Economics,United Kingdom,Master of Science in Finance,Postgraduate,LSE Campus,1 year,September,2024,"Strong undergraduate degree, preferably in quantitative subject",7.0,6.5,70,65,107,,650,,$45000,GBP,April 24 2024,1 year preferred,"LSE Graduate Support Scheme, External scholarships","Investment Banker, Hedge Fund Analyst, Corporate Finance, Risk Manager","AACSB","Corporate Finance, Investment Management, Risk Management, Financial Markets"
University of Toronto,Canada,Master of Applied Science in Computer Engineering,Postgraduate,St. George Campus,2 years,"September, January, May",2024,"Bachelor's in Engineering, minimum B+ average, GRE recommended",6.5,6.0,60,55,93,,,,$47000,CAD,January 15 2024,,"NSERC scholarships, University fellowships","Software Architect, Systems Engineer, R&D Engineer, Tech Lead","CEAB","Embedded Systems, Computer Networks, Software Engineering, AI/ML"
McGill University,Canada,Master of Management,Postgraduate,Desautels Faculty,20 months,August,2024,"Bachelor's degree, GMAT/GRE, work experience preferred",6.5,6.0,60,55,86,,550,,$42000,CAD,April 15 2024,2 years preferred,"Entrance scholarships, Merit awards","Management Consultant, Business Analyst, Project Manager, Entrepreneur","AACSB","Strategy, Finance, Marketing, Operations, Analytics"
University of British Columbia,Canada,Master of Data Science,Postgraduate,Vancouver Campus,10 months,September,2024,"Bachelor's with strong quantitative background, programming experience",6.5,6.0,65,60,90,,,,$35000,CAD,January 31 2024,,"Graduate fellowships, Industry partnerships","Data Scientist, ML Engineer, Business Intelligence Analyst, Research Scientist",,"Machine Learning, Statistical Modeling, Big Data Analytics, Data Visualization"
University of Melbourne,Australia,Master of Information Technology,Postgraduate,Parkville Campus,2 years,"February, July",2024,"Bachelor's degree in any field, demonstrated analytical skills",6.5,6.0,58,50,79,,,,$45000,AUD,October 31 2023,,"Melbourne Graduate Scholarships, International awards","Software Developer, IT Consultant, Systems Analyst, Product Manager",,"Software Engineering, Cybersecurity, AI/ML, Human-Computer Interaction"
