universityName,countryName,programName,studyLevel,campus,duration,openIntakes,intakeYear,entryRequirements,ieltsScore,ieltsNoBandLessThan,pteScore,pteNoBandLessThan,toeflScore,duolingo,gmatScore,greScore,yearlyTuitionFees,currency,applicationDeadline,workExperience,scholarships,careerProspects,accreditation,specializations
Harvard University,United States,Master of Business Administration,Postgraduate,Harvard Business School,2 years,"September, January",2024,"Bachelor's degree with excellent academic record, GMAT/GRE scores, essays, recommendations, interview",7.0,6.5,65,58,100,120,650,320,$73440,USD,January 15 2024,2 years preferred,"Merit-based scholarships, Need-based financial aid, Military scholarships","CEO, Management Consultant, Investment Banker, Entrepreneur, Strategy Director","AACSB, EQUIS","General Management, Finance, Marketing, Strategy, Entrepreneurship"
Harvard University,United States,Master of Science in Computer Science,Postgraduate,School of Engineering,2 years,"September, January",2024,"Bachelor's degree in Computer Science or related field, GRE scores, transcripts, statement of purpose",6.5,6.0,58,50,89,,320,,$55000,USD,December 15 2023,,"Research assistantships, Teaching assistantships, External fellowships","Software Engineer, Research Scientist, Tech Entrepreneur, Product Manager","ABET","Artificial Intelligence/Machine Learning, Systems, Theory, Human-Computer Interaction"
Harvard University,United States,Master of Public Health,Postgraduate,Harvard T.H. Chan School,2 years,September,2024,"Bachelor's degree, relevant coursework in health sciences, GRE scores",6.5,6.0,58,50,90,,,,$65000,USD,December 1 2023,1 year preferred,"Merit scholarships, Research assistantships","Public Health Specialist, Epidemiologist, Health Policy Analyst, Global Health Consultant",,"Epidemiology, Biostatistics, Environmental Health, Health Policy"
Harvard University,United States,Bachelor of Arts in Economics,Undergraduate,Harvard College,4 years,September,2024,"High school diploma with excellent academic record, SAT/ACT scores, essays, recommendations",7.0,6.5,65,58,100,,,,$54000,USD,January 1 2024,,"Need-based financial aid, Merit scholarships","Economist, Financial Analyst, Policy Analyst, Investment Banker, Consultant",,"Econometrics, International Economics, Development Economics, Behavioral Economics"
University of Oxford,United Kingdom,Master of Philosophy in Economics,Postgraduate,Department of Economics,2 years,October,2024,"First-class honours degree in Economics or related quantitative field with strong mathematical background",7.5,7.0,76,70,110,,650,,$45000,GBP,January 20 2024,,"Clarendon Scholarships, Rhodes Scholarships, College awards","Economist, Policy Analyst, Academic Researcher, Financial Analyst","QAA","Econometrics, Development Economics, Behavioral Economics, Public Economics"
University of Oxford,United Kingdom,Master of Science in Computer Science,Postgraduate,Department of Computer Science,1 year,October,2024,"First-class honours degree in Computer Science or Mathematics",7.0,6.5,70,65,100,,,,$42000,GBP,March 10 2024,,"Oxford-Google DeepMind Graduate Scholarships, Clarendon Fund","Research Scientist, Software Engineer, AI Researcher, Tech Lead",,"Machine Learning, Computer Vision, Natural Language Processing, Robotics"
University of Oxford,United Kingdom,Bachelor of Arts in Philosophy Politics and Economics,Undergraduate,Various Colleges,3 years,October,2024,"A-levels AAA or equivalent international qualifications with strong performance in relevant subjects",7.0,6.5,76,70,110,,,,$35000,GBP,October 15 2023,,"Oxford Bursaries, College scholarships, Moritz-Heyman Scholarship","Civil Service, Journalism, Law, Academia, Management Consulting",,"Philosophy, Politics, Economics, International Relations"
University of Toronto,Canada,Master of Applied Science in Computer Engineering,Postgraduate,St. George Campus,2 years,"September, January, May",2024,"Bachelor's degree in Engineering with minimum B+ average, GRE recommended but not required",6.5,6.0,60,55,93,,,,$47000,CAD,January 15 2024,,"NSERC scholarships, University fellowships, Research assistantships","Software Architect, Systems Engineer, R&D Engineer, Tech Lead","CEAB","Embedded Systems, Computer Networks, Software Engineering, AI/ML"
University of Toronto,Canada,Master of Business Administration,Postgraduate,Rotman School of Management,20 months,"September, January",2024,"Bachelor's degree, GMAT/GRE, minimum 2 years work experience, essays, interviews",6.5,6.0,60,55,100,,600,,$120000,CAD,April 25 2024,2 years required,"Merit-based scholarships, Diversity scholarships","Management Consultant, Investment Banker, Strategy Director, Entrepreneur","AACSB","Strategy, Finance, Marketing, Operations, Innovation"
University of Toronto,Canada,Bachelor of Commerce,Undergraduate,Rotman Commerce,4 years,September,2024,"High school diploma with minimum 85% average, supplementary application required",6.5,6.0,60,55,100,,,,$58000,CAD,January 13 2024,,"Entrance scholarships, In-course scholarships, Need-based aid","Investment Banking, Consulting, Marketing, Entrepreneurship, Finance","AACSB","Finance, Marketing, Management, Accounting, Business Analytics"
University of Melbourne,Australia,Master of Information Technology,Postgraduate,Parkville Campus,2 years,"February, July",2024,"Bachelor's degree in any discipline with demonstrated analytical and problem-solving skills",6.5,6.0,58,50,79,,,,$45000,AUD,October 31 2023,,"Melbourne Graduate Scholarships, International scholarships","Software Developer, IT Consultant, Systems Analyst, Product Manager",,"Software Engineering, Cybersecurity, Artificial Intelligence/Machine Learning, Human-Computer Interaction"
University of Melbourne,Australia,Master of Management,Postgraduate,Melbourne Business School,2 years,"February, July",2024,"Bachelor's degree with strong academic performance, GMAT/GRE preferred",6.5,6.0,58,50,79,,550,,$85000,AUD,September 30 2023,1 year preferred,"Merit scholarships, Diversity scholarships","Management Consultant, Business Analyst, Strategy Advisor, Project Manager","AACSB, EQUIS","Strategy, Marketing, Operations, Innovation, Leadership"
University of Melbourne,Australia,Bachelor of Science in Computer Science,Undergraduate,Parkville Campus,3 years,"February, July",2024,"VCE or equivalent with strong mathematics background and satisfactory English",6.5,6.0,58,50,79,,,,$45000,AUD,December 30 2023,,"Melbourne Undergraduate Scholarships, International scholarships","Software Engineer, Data Scientist, Cybersecurity Analyst, Game Developer",,"Software Engineering, Artificial Intelligence, Data Science, Human-Computer Interaction"
Technical University of Munich,Germany,Master of Science in Informatics,Postgraduate,Garching Campus,2 years,"October, April",2024,"Bachelor's degree in Computer Science or related field with above-average grades (German grade 2.5 or better)",6.5,6.0,62,55,95,,,,$3000,EUR,May 31 2024,,"DAAD scholarships, TUM Excellence scholarships, Industry partnerships","Software Engineer, Research Scientist, IT Consultant, Tech Entrepreneur",,"Algorithms, Software Engineering, Machine Learning, Computer Graphics, Robotics"
Technical University of Munich,Germany,Master of Science in Management,Postgraduate,TUM School of Management,2 years,September,2024,"Bachelor's degree with above-average performance, GMAT/GRE scores, English proficiency",6.5,6.0,62,55,95,,600,,$3000,EUR,May 31 2024,1 year preferred,"Excellence scholarships, External funding, Industry sponsorships","Management Consultant, Business Analyst, Product Manager, Strategy Consultant","AACSB, EQUIS","Strategy, Finance, Marketing, Operations, Digital Business"
Technical University of Munich,Germany,Bachelor of Science in Computer Science,Undergraduate,Garching Campus,3 years,October,2024,"Abitur or equivalent qualification with strong mathematics and physics background",6.0,5.5,55,50,80,,,,$500,EUR,July 15 2024,,"Merit-based scholarships, DAAD funding","Software Developer, Systems Engineer, Research Assistant, Tech Startup Founder",,"Programming, Algorithms, Software Engineering, Computer Systems, Mathematics"
