universityName,countryName,programName,studyLevel,campus,duration,openIntakes,intakeYear,entryRequirements,ieltsScore,ieltsNoBandLessThan,pteScore,pteNoBandLessThan,toeflScore,duolingo,gmatScore,greScore,yearlyTuitionFees,currency,applicationDeadline,workExperience,scholarships,careerProspects,accreditation,specializations
Harvard University,United States,Master of Business Administration,Postgraduate,Main Campus,2 years,"September, January",2024,Bachelor degree with minimum 3.0 GPA and relevant work experience,7.0,6.5,65,58,100,120,650,320,$73440,USD,January 15 2024,2 years preferred,"Merit-based scholarships, Need-based aid","Management, Consulting, Finance, Investment Banking","AACSB, EQUIS","Finance, Marketing, Operations, Strategy"
Harvard University,United States,Master of Science in Computer Science,Postgraduate,Main Campus,2 years,"September, January",2024,Bachelor degree in Computer Science or related field with strong programming background,6.5,6.0,58,50,90,,320,,$45000,USD,December 15 2023,,"Research assistantships, Teaching assistantships","Software Engineer, Data Scientist, Research Scientist, Tech Lead","ABET","Artificial Intelligence, Machine Learning, Cybersecurity, Software Engineering"
University of Oxford,United Kingdom,Master of Philosophy in Management,Postgraduate,Said Business School,2 years,September,2024,First-class or strong upper second-class undergraduate degree,7.5,7.0,76,70,110,,650,,$55000,GBP,January 6 2024,2 years required,"Rhodes Scholarships, Clarendon Fund","Management Consulting, Investment Banking, Academia","AACSB, AMBA","Strategy, Finance, Entrepreneurship, Operations"
University of Toronto,Canada,Master of Applied Science in Engineering,Postgraduate,St. George Campus,2 years,"September, January, May",2024,Bachelor degree in Engineering with minimum B+ average,6.5,6.0,60,55,93,,,,$35000,CAD,January 15 2024,,"Graduate assistantships, Research fellowships","Engineering Manager, Research Engineer, Technical Consultant","CEAB","Electrical Engineering, Mechanical Engineering, Civil Engineering, Computer Engineering"
University of Melbourne,Australia,Master of Information Technology,Postgraduate,Parkville Campus,2 years,"February, July",2024,Bachelor degree in any discipline with demonstrated analytical skills,6.5,6.0,58,50,79,,,,$45000,AUD,October 31 2023,,"Melbourne Graduate Scholarships, International scholarships","Software Developer, IT Consultant, Systems Analyst, Project Manager",,"Software Engineering, Artificial Intelligence, Cybersecurity, Data Science"
Technical University of Munich,Germany,Master of Science in Management,Postgraduate,Main Campus,2 years,"October, April",2024,Bachelor degree with above-average grades and relevant background,6.5,6.0,62,55,95,,600,,$3000,EUR,May 31 2024,1 year preferred,"DAAD Scholarships, TUM Scholarships","Management Consultant, Business Analyst, Project Manager","AACSB","Innovation Management, Digital Transformation, Sustainability Management"
Harvard University,United States,Bachelor of Arts in Economics,Undergraduate,Cambridge Campus,4 years,September,2024,High school diploma with excellent academic record and SAT/ACT scores,7.0,6.5,65,58,100,,,,$54000,USD,January 1 2024,,"Need-based financial aid, Merit scholarships","Economist, Financial Analyst, Policy Analyst, Investment Banker",,"Econometrics, International Economics, Development Economics, Behavioral Economics"
University of Oxford,United Kingdom,Bachelor of Arts in Philosophy Politics and Economics,Undergraduate,Various Colleges,3 years,October,2024,A-levels AAA or equivalent international qualifications,7.0,6.5,76,70,110,,,,$35000,GBP,October 15 2023,,"Oxford Bursaries, College scholarships","Civil Service, Journalism, Law, Academia, Consulting",,"Philosophy, Politics, Economics, International Relations"
University of Toronto,Canada,Bachelor of Commerce,Undergraduate,Rotman Commerce,4 years,September,2024,High school diploma with minimum 85% average,6.5,6.0,60,55,100,,,,$58000,CAD,January 13 2024,,"Entrance scholarships, In-course scholarships","Investment Banking, Consulting, Marketing, Entrepreneurship","AACSB","Finance, Marketing, Management, Accounting"
University of Melbourne,Australia,Bachelor of Science in Computer Science,Undergraduate,Parkville Campus,3 years,"February, July",2024,VCE or equivalent with strong mathematics background,6.5,6.0,58,50,79,,,,$45000,AUD,December 30 2023,,"Melbourne Undergraduate Scholarships, International scholarships","Software Engineer, Data Scientist, Cybersecurity Analyst, Game Developer",,"Software Engineering, Artificial Intelligence, Data Science, Human-Computer Interaction"
